article_id,authors_txt,title,pmid,volume,issue,abstract,year,journal_name,impact_factor,first_author_extracted,last_author_extracted,primary_affiliation,country
2184,Stenbak CR;Ryu JH;Leulier F;Pili-Floury S;Parquet C;Hervé M;Chaput C;Boneca IG;Lee WJ;Lemaitre B;Mengin-Lecreulx D,Peptidoglycan molecular requirements allowing detection by the Drosophila immune deficiency pathway.,15585858,173,12,"Innate immune recognition of microbes is a complex process that can be influenced by both the host and the microbe. Drosophila uses two distinct immune signaling pathways, the Toll and immune deficiency (Imd) pathways, to respond to different classes of microbes. The Toll pathway is predominantly activated by Gram-positive bacteria and fungi, while the Imd pathway is primarily activated by Gram-negative bacteria. Recent work has suggested that this differential activation is achieved through peptidoglycan recognition protein (PGRP)-mediated recognition of specific forms of peptidoglycan (PG). In this study, we have further analyzed the specific PG molecular requirements for Imd activation through the pattern recognition receptor PGRP-LC in both cultured cell line and in flies. We found that two signatures of Gram-negative PG, the presence of diaminopimelic acid in the peptide bridge and a 1,6-anhydro form of N-acetylmuramic acid in the glycan chain, allow discrimination between Gram-negative and Gram-positive bacteria. Our results also point to a role for PG oligomerization in Imd activation, and we demonstrate that elements of both the sugar backbone and the peptide bridge of PG are required for optimum recognition. Altogether, these results indicate multiple requirements for efficient PG-mediated activation of the Imd pathway and demonstrate that PG is a complex immune elicitor.",2004,"Journal of immunology (Baltimore, Md. : 1950)",4.4,Stenbak CR,Mengin-Lecreulx D,"Centre de Génétique Moléculaire du Centre National de la Recherche Scientifique, Gif-sur-Yvette, France.",France
1704,Bidla G;Hauling T;Dushay MS;Theopold U,Activation of insect phenoloxidase after injury: endogenous versus foreign elicitors.,20375588,1,4,"The enzyme phenoloxidase (PO) is one of the first immune molecules that was identified in invertebrates. Recently, the immune function of PO has been challenged. We tested how PO is activated following injury in 2 insects, i.e. the fruit fly Drosophila melanogaster and the wax moth Galleria mellonella. Rapid PO activation in Drosophila was limited to discrete areas of the hemolymph clot which forms after injury. Surprisingly, unlike systemic PO activation during bacterial sepsis, clot melanization was not sensitive to microbial elicitors in our assay. Instead, Drosophila clot melanization was activated by endogenous signals such as apoptotic cells and was superinduced by phosphatidylserine, a negatively charged phospholipid normally found on the inner surface of the plasma membrane and exposed during apoptosis. In contrast, melanization in G. mellonella hemolymph was stronger and more uniform and was sensitive to peptidoglycan. This shows that both exogenous and endogenous signals can trigger the same immune mechanism in species- and context-dependent ways. Our findings have implications for the evolutionary dynamics of immune mechanisms and are in agreement with recent comparisons of insect immune transcriptomes.",2009,Journal of innate immunity,5.3,Bidla G,Theopold U,"Department of Molecular Biology and Functional Genomics, University of Stockholm, Stockholm, Sweden.",Sweden
2258,Park JM;Brady H;Ruocco MG;Sun H;Williams D;Lee SJ;Kato T;Richards N;Chan K;Mercurio F;Karin M;Wasserman SA,Targeting of TAK1 by the NF-kappa B protein Relish regulates the JNK-mediated immune response in Drosophila.,15037551,18,5,"The molecular circuitry underlying innate immunity is constructed of multiple, evolutionarily conserved signaling modules with distinct regulatory targets. The MAP kinases and the IKK-NF-kappa B molecules play important roles in the initiation of immune effector responses. We have found that the Drosophila NF-kappa B protein Relish plays a crucial role in limiting the duration of JNK activation and output in response to Gram-negative infections. Relish activation is linked to proteasomal degradation of TAK1, the upstream MAP kinase kinase kinase required for JNK activation. Degradation of TAK1 leads to a rapid termination of JNK signaling, resulting in a transient JNK-dependent response that precedes the sustained induction of Relish-dependent innate immune loci. Because the IKK-NF-kappa B module also negatively regulates JNK activation in mammals, thereby controlling inflammation-induced apoptosis, the regulatory cross-talk between the JNK and NF-kappa B pathways appears to be broadly conserved.",2004,Genes & development,10.5,Park JM,Wasserman SA,"Laboratory of Gene Regulation and Signal Transduction, Department of Pharmacology, School of Medicine, University of California, San Diego, La Jolla, 92093-0636, USA.",USA
1978,Libert S;Chao Y;Chu X;Pletcher SD,Trade-offs between longevity and pathogen resistance in Drosophila melanogaster are mediated by NFkappaB signaling.,17129215,5,6,"The innate immune response protects numerous organisms, including humans, from the universe of pathogenic molecules, viruses and micro-organisms. Despite its role in promoting pathogen resistance, inappropriate activation and expression of NFkappaB and other immunity-related effector molecules can lead to cancer, inflammation, and other diseases of aging. Understanding the mechanisms leading to immune system activation as well as the short- and long-term consequences of such activation on health and lifespan is therefore critical for the development of beneficial immuno-modulating and longevity-promoting interventions. Mechanisms of innate immunity are highly conserved across species, and we take advantage of genetic tools in the model organism, Drosophila melanogaster, to study the effects of acute and chronic activation of immunity pathways on pathogen resistance and general fitness of adult flies. Our findings indicate that fat body specific overexpression of a putative pathogen recognition molecule, peptidoglycan recognition protein (PGRP-LE), is sufficient for constitutive up-regulation of the immune response and for enhanced pathogen resistance. Primary components of fitness are unaffected by acute activation, but chronic activation leads to an inflammatory state and reduced lifespan. These phenotypes are dependent on the NFkappaB-related transcriptional factor, Relish, and they establish a mechanistic basis for a link between immunity, inflammation, and longevity.",2006,Aging cell,7.8,Libert S,Pletcher SD,"Huffington Center on Aging, Baylor College of Medicine, One Baylor Plaza, Houston, TX 77030, USA.",USA
2160,de Morais Guedes S;Vitorino R;Domingues R;Tomer K;Correia AJ;Amado F;Domingues P,Proteomics of immune-challenged Drosophila melanogaster larvae hemolymph.,15670757,328,1,"In the last decade, the fruit fly Drosophila melanogaster has emerged as a promising invertebrate model for the investigation of innate immunity, in part because of its well characterised genetics. The information provided by the innumerous reports on Drosophila's immune response indicates that a large number of genes, in addition to the well-known antimicrobial peptide genes, are both up- and down-regulated upon immune challenge. Nevertheless, their contribution to fighting off infection has not been seriously addressed. With the application of recent advances in proteomics, the effects of an immune challenge in the overall modification of Drosophila 2-DE protein patterns were investigated. The aim of this study was to investigate hemolymph proteins differentially expressed between control and immunised larvae sets, which could be related solely to the Drosophila immune response. The list of immune-related protein spots included heat shock proteins and other proteins with chaperone properties, serine proteases, phenol oxidase, and Drosophila antioxidant system components, which accounted for 21% of the total of 70 identified proteins, metabolic enzymes implicated in pathways such as cellular respiration, fatty-acid oxidation, protein biosynthesis, and structural proteins.",2005,Biochemical and biophysical research communications,3.1,de Morais Guedes S,Domingues P,"Department of Chemistry, University of Aveiro, Portugal.",Portugal
3447,RIZKI MT,Melanotic tumor ormation in Drosophila.,14437701,106,,,1960,Journal of morphology,1.5,RIZKI MT,RIZKI MT,,
3446,Nappi AJ;Silvers MJ,Drosophila blood cell surface changes in response to stimulation by dopamine in vitro.,3095158,10,3,,1986,Developmental and comparative immunology,2.9,Nappi AJ,Silvers MJ,,
3442,Busse MS;Arnold CP;Towb P;Katrivesis J;Wasserman SA,A kappaB sequence code for pathway-specific innate immune responses.,17660749,26,16,"The Toll and Imd pathways induce humoral innate immune responses in Drosophila by activating NF-kappaB proteins that bind kappaB target sites. Here, we delineate a kappaB site sequence code that directs pathway-specific expression of innate immune loci. Using bioinformatic analysis of expression and sequence data, we identify shared properties of Imd- and Toll-specific response elements. Employing synthetic kappaB sites in luciferase reporter and in vitro binding assays, we demonstrate that the length of the (G)(n) element in the 5' half-site and of the central (A,T)-rich region combine to specify responsiveness to one or both pathways. We also show that multiple sites function to enhance the response to either or both pathways. Together, these studies elucidate the mechanism by which kappaB motifs direct binding by particular Drosophila NF-kappaB family members and thereby induce specialized innate immune repertoires.",2007,The EMBO journal,11.4,Busse MS,Wasserman SA,"Section of Cell and Developmental Biology, University of California at San Diego, La Jolla, CA 92093-0349, USA.",USA
1476,Lionakis MS;Kontoyiannis DP,The growing promise of Toll-deficient Drosophila melanogaster as a model for studying Aspergillus pathogenesis and treatment.,21178494,1,6,"Despite considerable progress over recent years, the prognosis of invasive aspergillosis (IA) remains unfavorable, reflecting an incomplete understanding of Aspergillus pathogenesis and suboptimal antifungal efficacy in vivo. Mammalian host systems including rodents and rabbits are important tools in elucidating antifungal drug activity and the immunopathogenesis of IA. Nonetheless, they are hampered by limitations that impose a ""bottleneck"" in mass screening of novel antifungal compounds and putative Aspergillus virulence factors including their cost, labor intensity and ethical constraints. Drosophila melanogaster is an invertebrate host with a long tract record of genetic studies and a simple, yet highly conserved innate immune system. Herein, we describe our experience using this fly model as a facile, non-laborious, inexpensive pathosystem for high-throughput screening of novel antifungal compounds and putative Aspergillus mutants, and studying antifungal innate immunity. We present three infection protocols (i.e., injection, rolling, ingestion) that introduce Aspergillus either directly into the hemolymph or at different epithelial surfaces of Toll-deficient Drosophila flies. As a proof of principle, we demonstrate attenuated virulence of known hypovirulent Aspergillus strains and protection of Aspergillus-infected flies given oral Aspergillus-active agents such is voriconazole. These protocols can be adapted for similar studies of other fungal pathogens. Crossing and generation of Toll-deficient Drosophila flies takes 3 weeks; Aspergillus conidial preparation takes 3 days; fly inoculation depending on the infection assay takes 1 to 6-8 hours; and assessment of fly survival, Aspergillus strain virulence, Drosophila innate host parameters and/or drug activity takes 4-8 days.",2010,Virulence,5.2,Lionakis MS,Kontoyiannis DP,"Laboratory of Molecular Immunology, National Institutes of Health, Bethesda, MD, USA.",USA
2731,Elrod-Erickson M;Mishra S;Schneider D,Interactions between the cellular and humoral immune responses in Drosophila.,10898983,10,13,"Drosophila has highly efficient defenses against infection. These include both cellular immune responses, such as the phagocytosis of invading microorganisms, and humoral immune responses, such as the secretion of antimicrobial peptides into the hemolymph [1] [2]. These defense systems are thought to interact, but the nature and extent of these interactions is not known. Here we describe a method for inhibiting phagocytosis in Drosophila blood cells (hemocytes) by injecting polystyrene beads into the body cavity. This treatment does not in itself make a fly susceptible to Escherichia coli infection. However, when performed on flies carrying the mutation immune deficiency (imd), which affects the humoral immune response [3], the treatment results in a striking decrease in resistance to infection. We therefore carried out a sensitized genetic screen to identify immunocompromised mutants by co-injecting beads and E. coli. From this screen, we identified a new gene we have named red shirt and identified the caspase Dredd as a regulator of the Drosophila immune response. The observation that mutants with defects in the humoral immune response are further immunocompromised by blocking phagocytosis, and thus inhibiting the cellular immune response, shows that the Drosophila cellular and humoral immune responses act in concert to fight infection.",2000,Current biology : CB,9.2,Elrod-Erickson M,Schneider D,"Whitehead Institute, Cambridge, MA 02142, USA.",USA
3002,Pearson A;Lux A;Krieger M,"Expression cloning of dSR-CI, a class C macrophage-specific scavenger receptor from Drosophila melanogaster.",7732030,92,9,"Mammalian class A macrophage-specific scavenger receptors (SR-A) exhibit unusually broad binding specificity for a wide variety of polyanionic ligands. The properties of these receptors suggest that they may be involved in atherosclerosis and host defense. We have previously observed a similar receptor activity in Drosophila melanogaster embryonic macrophages and in the Drosophila macrophage-like Schneider L2 cell line. Expression cloning was used to isolate from L2 cells a cDNA that encodes a third class (class C) of scavenger receptor, Drosophila SR-CI (dSR-CI). dSR-CI expression was restricted to macrophages/hemocytes during embryonic development. When expressed in mammalian cells, dSR-CI exhibited high affinity and saturable binding of 125I-labeled acetylated low density lipoprotein and mediated its chloroquine-dependent, presumably lysosomal, degradation. Although the broad polyanionic ligand-binding specificity of dSR-CI was similar to that of SR-A, their predicted protein sequences are not similar. dSR-CI is a 609-residue type I integral membrane protein containing several well-known sequence motifs, including two complement control protein (CCP) domains and somatomedin B, MAM, and mucin-like domains. Macrophage scavenger receptors apparently mediate important, well-conserved functions and may be pattern-recognition receptors that arose early in the evolution of host-defense mechanisms. Genetic and physiologic analysis of dSR-CI function in Drosophila should provide further insights into the roles played by scavenger receptors in host defense and development.",1995,Proceedings of the National Academy of Sciences of the United States of America,11.1,Pearson A,Krieger M,"Department of Biology, Massachusetts Institute of Technology, Cambridge 02139, USA.",USA
3450,Gateff E,Malignant neoplasms of genetic origin in Drosophila melanogaster.,96525,200,4349,"Malignant neoplasms that develop in 12 recessive-lethal, larval mutants of Drosophila melanogaster are discussed. These mutations affect the adult optic neuroblasts and ganglion-mother cells in the larval brain, the imaginal discs, and the hematopoietic organs. The malignant neoplasms exhibit fast, autonomous growth, loss of the capacity for differentiation, increased mobility and invasiveness, lethality in situ and after transplantation, and histological, fine structural, and karyotypic abnormalities. Intermediate neoplasms are also found. These combine both benign and malignant qualities. They grow in a noninvasive, compact fashion, typical of benign tumors, yet they also exhibit malignant qualities such as fast, autonomous, and lethal growth, loss of differentiation capacity, changes in cellular morphology, and lethal growth after transplantation into wild-type hosts. Thus Drosophila and vertebrate neoplasms show striking similarities.",1978,"Science (New York, N.Y.)",56.9,Gateff E,Gateff E,,
3449,Gateff E,Malignant neoplasms of the hematopoietic system in three mutants of Drosophila melanogaster.,409327,52,1,,1977,Annales de parasitologie humaine et comparee,0.5,Gateff E,Gateff E,,
2313,Weber AN;Tauszig-Delamasure S;Hoffmann JA;Lelièvre E;Gascan H;Ray KP;Morse MA;Imler JL;Gay NJ,Binding of the Drosophila cytokine Spätzle to Toll is direct and establishes signaling.,12872120,4,8,"The extracellular protein Spätzle is required for activation of the Toll signaling pathway in the embryonic development and innate immune defense of Drosophila. Spätzle is synthesized as a pro-protein and is processed to a functional form by a serine protease. We show here that the mature form of Spätzle triggers a Toll-dependent immune response after injection into the hemolymph of flies. Spätzle specifically bound to Drosophila cells and to Cos-7 cells expressing Toll. Furthermore, in vitro experiments showed that the mature form of Spätzle bound to the Toll ectodomain with high affinity and with a stoichiometry of one Spätzle dimer to two receptors. The Spätzle pro-protein was inactive in all these assays, indicating that the pro-domain sequence, which is natively unstructured, acts to prevent interaction of the cytokine and its receptor Toll. These results show that, in contrast to the human Toll-like receptors, Drosophila Toll requires only an endogenous protein ligand for activation and signaling.",2003,Nature immunology,30.5,Weber AN,Gay NJ,"Department of Biochemistry, University of Cambridge, 80 Tennis Court Road, Cambridge CB2 1GA, United Kingdom.",UK
3451,Xavier MJ;Williams MJ,The Rho-family GTPase Rac1 regulates integrin localization in Drosophila immunosurveillance cells.,21603603,6,5,"When the parasitoid wasp Leptopilina boulardi lays an egg in a Drosophila larva, phagocytic cells called plasmatocytes and specialized cells known as lamellocytes encapsulate the egg. The Drosophila β-integrin Myospheroid (Mys) is necessary for lamellocytes to adhere to the cellular capsule surrounding L. boulardi eggs. Integrins are heterodimeric adhesion receptors consisting of α and β subunits, and similar to other plasma membrane receptors undergo ligand-dependent endocytosis. In mammalian cells it is known that integrin binding to the extracellular matrix induces the activation of Rac GTPases, and we have previously shown that Rac1 and Rac2 are necessary for a proper encapsulation response in Drosophila larvae. We wanted to test the possibility that Myospheroid and Rac GTPases interact during the Drosophila anti-parasitoid immune response.",2011,PloS one,3.7,Xavier MJ,Williams MJ,"Institute of Biological and Environmental Sciences, University of Aberdeen, Aberdeen, United Kingdom.",UK
3461,Williams MJ;Ando I;Hultmark D,Drosophila melanogaster Rac2 is necessary for a proper cellular immune response.,16098145,10,8,"It has been reported that during Drosophila embryonic development, and in cell culture, that the Rac GTPases are redundant. To better elucidate Rac function in Drosophila, we decided to study the role of Rac2 in larval cellular defense reactions against the parasitiod Leptopilina boulardi. Here we show a dramatic effect in the context of cellular immunity where, unlike embryonic development, Rac2 appears to have a non-redundant function. When an invading parasitoid is recognized as foreign, circulating hemocytes (blood cells) should recognize and attach to the egg chorion. After attachment the hemocytes should then spread to form a multilayered capsule surrounding the invader. In Rac2 mutants this process is disrupted. Immune surveillance cells, known as plasmatocytes, adhere to the parasitoid egg but fail to spread, and septate junctions do not assemble, possibly due to mislocalization of the Protein 4.1 homolog Coracle. Finally, larger cells known as lamellocytes attach to the capsule but also fail to spread, and there is a lack of melanization. From these results it appears that Rac2 is necessary for the larval cellular immune response.",2005,Genes to cells : devoted to molecular & cellular mechanisms,2.1,Williams MJ,Hultmark D,"Umeå Centre for Molecular Pathogenesis, Umeå University, S-901 87 Umeå, Sweden. michael.williams@ucmp.umu.se",Sweden
3458,Hultmark D,Macrophage differentiation marker MyD88 is a member of the Toll/IL-1 receptor family.,8123006,199,1,"The interleukin-1 receptor in mammals and the product of the Toll gene in Drosophila are related transmembrane receptors, involved in the activation of transcription factors of the rel family. Whereas the interleukin-1 receptor mediates the effects of interleukin-1 in the immune system, Toll is part of the system that determines dorsoventral polarity in the Drosophila embryo, although Toll may also have a function in the immune response in the fly. Here, I demonstrate that the open reading frame of MyD88, a gene induced in myeloid differentiation, is related to the cytoplasmic domains of the interleukin-1 receptor and the Toll gene product. The three related proteins define a family of signal transmitters, the original function of which may be to mediate responses in the immune system.",1994,Biochemical and biophysical research communications,3.1,Hultmark D,Hultmark D,"Department of Molecular Biology, Stockholm University, Sweden.",Sweden
2249,Apidianakis Y;Rahme LG;Heitman J;Ausubel FM;Calderwood SB;Mylonakis E,Challenge of Drosophila melanogaster with Cryptococcus neoformans and role of the innate immune response.,15075271,3,2,"We found that the ingestion of Cryptococcus neoformans by Drosophila melanogaster resulted in the death of the fly but that the ingestion of Saccharomyces cerevisiae or the nonpathogenic Cryptococcus kuetzingii or Cryptococcus laurentii did not. The C. neoformans protein kinase A and RAS signal transduction pathways, previously shown to be involved in virulence in mammals, also played a role in killing Drosophila. Mutation of the Toll immune response pathway, the predominant antifungal pathway of the fly, did not play a role in Drosophila defense following ingestion of the yeast. However, the Toll pathway was necessary for the clearance of C. neoformans introduced directly into the hemolymph of D. melanogaster and for the survival of systemically infected flies.",2004,Eukaryotic cell,2.992,Apidianakis Y,Mylonakis E,"Department of Surgery, Massachusetts General Hospital. Shriner's Burns Institute, Boston, Massachusetts 02114, USA.",USA
